Name,Gender,Born,BornAtBurrow,MassAtBirth
+=,Female,Unknown,400,0.87
+1,Female,Unknown,351,1.05
+6,Male,Unknown,13,0.86
+7,Female,Unknown,240,1.10
+9,Male,30-May-2013,341,0.76
+A,Female,Unknown,373,1.07
+C,Female,Unknown,396,1.23
+E,Female,Unknown,199,1.34
11,Male,27-Apr-2013,321,0.84
16,Male,04-May-2013,25,0.91
17,Male,03-May-2013,48,0.89
19,Male,01-May-2013,99,0.99
1A,Male,03-May-2013,28,0.99
1C ,Female,03-May-2013,170,0.93
1D,Female,06-May-2013,167,0.91
1E,Male,05-May-2013,248,0.83
1H,Male,05-May-2013,31,0.85
1J,Male,05-May-2013,158,0.96
1N,Female,06-May-2013,215,0.91
1O,Male,04-May-2013,43,0.91
1P,Female,04-May-2013,80,0.87
1S,Male,05-May-2013,172,1.01
1T,Male,03-May-2013,24,1.00
1U,Male,05-May-2013,154,0.90
1V,Male,03-May-2013,125,0.98
1X,Male,30-Apr-2013,145,0.95
1Z,Female,04-May-2013,183,0.84
6,Female,15-May-2013,382,0.69
61,Female,03-May-2013,211,0.76
66,Female,04-May-2013,45,0.91
67,Male,02-May-2013,332,0.95
69,Female,07-May-2013,218,0.86
6A,Male,05-May-2013,178,1.00
6C,Female,06-May-2013,191,0.93
6D,Male,06-May-2013,84,0.96
6E,Male,04-May-2013,98,0.97
6H,Male,06-May-2013,100,0.85
6J,Female,06-May-2013,86,0.87
6L,Male,08-May-2013,300,0.80
6N,Male,06-May-2013,181,1.02
6P,Male,08-May-2013,46,0.92
6S,Female,06-May-2013,168,0.78
6T,Male,07-May-2013,251,1.09
6U,Male,07-May-2013,54,0.92
6V,Male,07-May-2013,268,1.01
6X,Male,07-May-2013,92,1.05
6Z,Female,07-May-2013,58,0.97
71,Female,07-May-2013,327,0.77
76,Male,08-May-2013,23,0.83
77,Male,07-May-2013,152,0.82
79,Female,07-May-2013,228,0.90
7A,Male,07-May-2013,256,0.96
7C,Female,08-May-2013,198,1.07
7D,Male,08-May-2013,367,0.87
7E,Female,05-May-2013,244,0.91
7H,Male,08-May-2013,118,0.90
7J,Female,06-May-2013,69,0.94
7L,Female,07-May-2013,278,0.87
7N,Male,10-May-2013,354,0.81
7O,Male,05-May-2013,277,0.90
7P,Male,06-May-2013,287,1.03
7S,Male,08-May-2013,336,0.90
7T,Female,07-May-2013,270,0.83
7V,Female,10-May-2013,230,0.80
7X,Female,08-May-2013,276,0.87
7Z,Female,09-May-2013,122,0.83
9+,Female,Unknown,401,0.76
91,Male,09-May-2013,22,0.82
96,Female,10-May-2013,202,0.78
97,Male,08-May-2013,18,0.66
99,Female,08-May-2013,60,0.80
9A,Male,08-May-2013,47,0.93
9C,Female,08-May-2013,66,0.83
9E,Female,07-May-2013,216,0.79
9J,Male,09-May-2013,50,0.84
9L,Male,09-May-2013,249,0.82
9N,Male,09-May-2013,114,0.90
9O,Male,08-May-2013,258,1.02
9P,Male,09-May-2013,165,0.93
9S,Male,09-May-2013,279,1.04
9T,Male,10-May-2013,29,0.95
9U,Male,09-May-2013,266,0.77
9V,Male,09-May-2013,67,0.78
9X,Male,13-May-2013,349,0.87
A1,Male,Unknown,79,0.84
A6,Male,10-May-2013,88,1.03
A7,Male,10-May-2013,38,0.96
A9,Female,10-May-2013,260,1.04
AA,Male,10-May-2013,250,1.16
AC,Male,09-May-2013,314,0.94
AE,Female,Unknown,384,1.20
AH,Male,10-May-2013,61,1.02
AJ,Female,11-May-2013,34,0.88
AL,Female,11-May-2013,119,1.00
AN,Female,10-May-2013,138,1.10
AO,Male,13-May-2013,134,1.06
AP,Male,10-May-2013,241,0.85
AS,Male,11-May-2013,171,0.91
AT,Female,13-May-2013,105,0.98
AV,Male,12-May-2013,21,1.09
AX,Male,12-May-2013,237,1.12
C,Female,17-May-2013,346,0.89
C7,Male,11-May-2013,309,1.03
C9,Male,12-May-2013,131,0.78
CC,Female,30-Apr-2013,355,0.98
CE,Female,12-May-2013,229,1.02
CJ,Male,12-May-2013,304,0.89
CL,Female,12-May-2013,132,1.13
CN,Male,12-May-2013,362,1.02
CO,Male,12-May-2013,261,1.01
CP,Male,11-May-2013,242,0.90
CS,Female,12-May-2013,199,1.06
CT,Female,10-May-2013,148,1.03
CU,Male,12-May-2013,280,0.96
CV,Male,10-May-2013,217,1.15
CX,Male,12-May-2013,339,0.91
CZ,Male,07-May-2013,240,0.93
E,Female,18-May-2013,91,0.79
E6,Female,15-May-2013,143,0.81
E7,Male,14-May-2013,257,0.85
E9,Male,15-May-2013,106,0.93
EA,Male,14-May-2013,234,1.08
EC,Female,12-May-2013,292,1.10
EJ,Female,15-May-2013,375,0.85
EL,Female,Unknown,58,1.03
H,Female,18-May-2013,107,0.75
H6,Male,13-May-2013,223,1.06
J,Female,17-May-2013,173,0.89
J1,Female,Unknown,202,0.74
J6,Female,11-May-2013,306,0.94
J7,Female,14-May-2013,358,0.86
J9,Male,09-May-2013,13,0.80
JA,Female,11-May-2013,190,0.79
JC,Female,10-May-2013,343,0.94
JE,Female,13-May-2013,347,0.88
JH,Male,11-May-2013,72,0.96
JJ,Female,12-May-2013,233,0.80
JL,Male,11-May-2013,73,0.96
JN,Male,13-May-2013,139,0.75
JO,Male,Unknown,25,0.91
JP,Female,13-May-2013,291,0.98
JS,Female,11-May-2013,340,0.94
JT,Female,13-May-2013,338,0.91
JU,Male,10-May-2013,150,0.93
JV,Male,16-May-2013,301,0.74
JX,Female,11-May-2013,329,1.13
JZ,Female,13-May-2013,380,0.85
L,Female,20-May-2013,222,0.83
L1,Female,16-May-2013,319,0.82
L6,Female,19-May-2013,247,0.80
L7,Female,16-May-2013,353,0.85
L9,Male,12-May-2013,331,0.87
LA,Male,15-May-2013,42,1.01
LC,Male,15-May-2013,87,0.71
LE,Female,14-May-2013,320,0.98
LH,Male,15-May-2013,75,0.97
LL,Male,16-May-2013,64,0.90
LS,Female,16-May-2013,15,0.90
LT,Female,21-May-2013,232,0.86
LU,Female,17-May-2013,162,1.04
LV,Female,Unknown,386,1.24
LX,Female,15-May-2013,187,0.99
LZ,Male,15-May-2013,373,0.86
N1,Female,13-May-2013,180,1.11
N6,Male,16-May-2013,14,0.98
N7,Female,15-May-2013,267,0.88
N9,Male,14-May-2013,40,1.07
NA,Male,14-May-2013,372,1.00
NE,Female,15-May-2013,360,0.90
NH,Female,15-May-2013,357,0.81
NJ,Female,16-May-2013,369,0.80
NP,Male,Unknown,385,1.19
NS,Female,18-May-2013,226,0.86
NT,Female,17-May-2013,345,0.87
O,Male,Unknown,92,0.86
P,Female,18-May-2013,310,0.76
S,Female,Unknown,347,0.89
S1,Male,Unknown,356,0.90
S6,Male,Unknown,340,0.98
S7,Male,Unknown,58,0.82
S9,Female,Unknown,167,1.00
T,Female,19-May-2013,371,0.99
T1,Male,Unknown,418,0.92
T6,Male,Unknown,416,0.98
T7,Female,Unknown,418,1.14
T9,Male,Unknown,419,0.93
TA,Male,Unknown,191,0.96
TH,Female,Unknown,398,1.00
TJ,Female,Unknown,73,1.17
TL,Female,Unknown,411,0.93
U,Female,Unknown,389,0.85
U1,Female,20-May-2013,370,0.84
U6,Female,18-May-2013,376,1.06
U7,Male,19-May-2013,311,0.97
U9,Female,18-May-2013,351,1.11
UA,Female,Unknown,249,1.06
UC,Female,Unknown,416,1.32
UJ,Female,15-May-2013,361,1.01
UL,Female,18-May-2013,286,0.84
UN,Male,Unknown,88,0.84
UP,Male,25-May-2013,374,0.83
US,Female,Unknown,388,1.09
UT,Male,Unknown,38,1.07
UU,Male,Unknown,258,0.95
UV,Female,Unknown,392,1.27
UX,Female,Unknown,99,0.94
UZ,Female,19-May-2013,330,0.83
V,Female,Unknown,391,1.06
V1,Female,22-May-2013,356,1.03
V6,Male,Unknown,394,0.99
V7,Female,Unknown,98,0.89
V9,Female,Unknown,70,1.07
VA,Male,21-May-2013,364,0.91
VC,Male,Unknown,42,0.99
VD,Male,22-May-2013,365,0.97
VE,Male,Unknown,278,1.01
X,Female,Unknown,29,0.86
X1,Female,18-May-2013,381,0.89
X6,Female,Unknown,392,1.05
X7,Female,Unknown,237,1.10
X9,Male,Unknown,276,0.87
XA,Female,Unknown,99,1.27
XC,Male,Unknown,404,0.93
XJ,Female,Unknown,404,1.17
XL,Male,Unknown,247,0.89
XN,Female,Unknown,395,1.12
XO,Female,18-May-2013,381,0.00
XP,Male,Unknown,393,0.89
XS,Male,Unknown,176,0.98
XT,Female,Unknown,42,1.05
XU,Male,Unknown,80,1.00
XV,Female,Unknown,393,1.21
XX,Male,Unknown,395,1.06
XZ,Female,Unknown,131,1.08
Z,Male,22-May-2013,159,0.83
Z1,Male,Unknown,386,1.03
Z6,Male,09-May-2013,167,0.92
Z7,Female,21-May-2013,326,1.07
Z9,Male,10-May-2013,242,0.93
